
,,,,,,
,No,機能要件,,要件名称,機能説明,優先度
,,ページ項目,カテゴリ,,,
,1,ホーム画面,全ユーザー共通表示,ホーム画面の表示,アプリケーション概要を表示し、未ログインでも執筆テストを行える(保存・管理は登録必須),高
,2,ログイン画面,ユーザー管理,ログイン機能,メールアドレス＋パスワードでログインを行う,高
,3,ユーザー登録画面,ユーザー管理,ユーザー登録,メールアドレス＋パスワードでサインアップを行う,高
,4,アカウント設定画面,ユーザー管理,パスワード再設定,パスワードを忘れた場合にメールアドレスにより再設定可能,高
,5,アカウント設定画面,ユーザー管理,プロフィール設定,自己紹介やSNSリンクなどを記載し交流可能,中
,6,共通（全画面）,ユーザー管理,ログイン状態の維持,セッションまたはJWTによりログイン状態を保持,高
,7,マイページ,ユーザー管理,自分のシナリオ一覧表示,ログイン中のユーザーが作成したシナリオを一覧表示・編集・削除できる,高
,8,マイページ,データ操作,シナリオ複製,アップデート用やベースプロットのみで作った個人のフレームを使い回すなど,低
,10,シーン一覧画面,シーン構造,シーン単位編集,各シーンを個別に編集・並び替え・階層管理が可能,高(編集・並び替え)
,11,シーン編集画面,画面表示,ダークモード,好みにあったスタイルで作業できる,低
,12,シーン編集画面,データ保存,クラウド保存（DB）,シナリオ・情報・シーン等のデータをユーザー単位でDBに保存,高
,13,シーン編集画面,シーン構造,フローチャート生成,シーン間リンクを自動視覚化（Mermaid.js等で）,低
,14,シーン編集画面,情報管理,情報の登録・分類,情報に「必須／伏線／補足」等のタグを設定し整理可能,中
,15,シーン編集画面,情報管理,条件付き情報展開,情報Aの取得により情報Bが開放されるなどの依存設定が可能,中
,16,シーン編集画面,情報管理,NPC等の情報管理,シナリオに登場するNPCデータを情報として管理する,中
,17,シーン編集画面,バランス設計,推奨技能設定,シナリオで想定される重要技能を指定（目星、心理学など）,中
,18,シーン編集画面,バランス設計,技能成功率入力,推奨技能に対し成功率を入力し、生還率の試算に使用,中
,19,シーン編集画面,表示・編集,Markdown／リッチテキスト対応,本文入力エリアでマークダウン記法または装飾可能なテキスト編集をサポート,高
,20,シーン編集画面,表示・編集,シーンプレビュー,プレイ画面を表示して画面構造を確認できる,中
,21,シーン編集画面,UI補助,情報タイムライン,情報が提示される順番を時系列で並べた表示,高
,22,シーン編集画面,UI補助,フィルター表示,タグやカテゴリで情報・シーンを絞り込み表示,低
,23,シーン編集画面,ファイル操作,保存・読込・エクスポート,データの保存、読込、外部出力（JSON/ZIP/PDF）を行う,中
,24,シーン編集画面,データ構造,シナリオ構造の定義,シーン・情報・NPCなどの構成を共通フォーマットで管理,中
,25,プレイ画面,セッションビュー,プレイ用モード,実際のセッションを進行できるGM用ビューを提供,中
,26,プレイ画面,シーン制御,現在のシーン表示,現在のシーンと次に進むシーンの管理UIを提供,中
,27,プレイ画面,情報提示,提示情報管理,提示済／未提示の情報を明示的に切り替え表示可能,中
,28,プレイ画面,フラグ制御,条件管理機能,情報取得／ダイス結果に応じて分岐制御や情報表示制御を行う,中
,29,プレイ画面,判定記録,技能使用ログ,プレイヤーごとの技能ロール履歴を記録・集計可能　GM向け,中
,30,プレイ画面,活動評価,活動ヒートマップ,プレイヤーごとの活躍度（判定回数）を視覚的に表示　GM向け,中
,31,プレイ画面,セッション管理,セッション途中保存,進行中のプレイ状況(シーン、ステータス等)を保存して再開できる,中
,32,プレイ画面,セッション記録,ログ出力機能,プレイ内容を自動ログ記録し、後でリプレイとして確認可能,中
,33,公開設定画面,公開管理,シナリオ公開設定,非公開・限定URL・一般公開などの共有設定を管理,低
,34,投稿／商品登録画面,メタ情報,商品説明入力欄,シナリオのジャンル・所要時間・PL人数などの概要情報を入力,低
,35,投稿／商品登録画面,メタ情報,ジャンル/タグ指定,シナリオの方向性やジャンル、タグを指定できる,低
,36,投稿／商品登録画面,メタ情報,ジャンル/タグ検索,ユーザーが好みにマッチするシナリオを検索できる,低
,37,商品購入画面,販売機能,決済連携,StripeやPayPalなどでDL販売ができる仕組みを整備,低
,38,商品閲覧画面,利用規約,利用条件明記,商用利用・改変・素材権利などの利用条件を作者が明示可能,低
,39,商品ダウンロード画面,ダウンロード提供,シナリオパッケージ出力,完成シナリオをzipや独自形式でダウンロード可能,低
,40,商品詳細ページ,評価・レビュー,ユーザー評価,ユーザーからの星評価・コメントレビュー機能を提供,低
,41,ユーザーページ,作者ページ,ユーザー別公開一覧,その作者が公開しているシナリオ・作品一覧を表示,低
,42,セッション募集ページ,ユーザー交流,セッション募集,ユーザー間で日程を決めプラットフォーム内でプレイヤー、マスターを募集できる,低
